Season,Episode,Title,URL
1,1,Night at the Katz Motel / Cajun Granny Stew,https://drive.google.com/file/d/1m2PrmLMCEiPskpe-wW0k0mVIU488CWre/view?usp=drive_link
1,2,"The Shadow of Courage / ""Dr. Le Quack, Amnesia Specialist""",https://drive.google.com/file/d/15c5S_Ft9sLUkosNtUwcIVEI8TaumqDTt/view?usp=drive_link
1,3,Courage Meets Bigfoot / Hothead,https://drive.google.com/file/d/1gRZN_ZO90gJUZlDLKauwOZNPrfB2R8JF/view?usp=drive_link
1,4,The Demon in the Mattress / Freaky Fred,https://drive.google.com/file/d/1oVvGdbdvVeU9j_bwMWdnKbGJICGVZaa3/view?usp=drive_link
1,5,Everybody Wants to Direct / The Snowman Cometh,https://drive.google.com/file/d/1Y5N2l58uBrTXOGYioaPLP8ZxC4154Gwr/view?usp=drive_link
1,6,"The Queen of the Black Puddle / ""The Precious, Wonderful, Adorable, Lovable Duckling""",https://drive.google.com/file/d/1_hKBRLF1ycbzSTJ-u0TJaEHt9LmfGFKP/view?usp=drive_link
1,7,Heads of Beef / Klub Katz,https://drive.google.com/file/d/1bKrjL0i8VhCKZgJPtrvHVDLxFLNM3HSb/view?usp=drive_link
1,8,The Mummy's Curse / The Great Fusilli,https://drive.google.com/file/d/1Rm8t3yvbizwZibgdmgIaEIbUjIqwp8Me/view?usp=drive_link
1,9,The Hunchback of Nowhere / The Gods Must Be Goosey,https://drive.google.com/file/d/1GRQ_xkUP3OzG6PKOW11vgjqfS196_-Jx/view?usp=drive_link
1,10,The Duck Brothers / Shirley the Medium,https://drive.google.com/file/d/1gkQJCXcJT1bXJOS5Sc1EjyhNmxnFd7SO/view?usp=drive_link
1,11,King Ramses' Curse / The Clutching Foot,https://drive.google.com/file/d/1rITK2C4vpBovH2tJLmQoLvfvD__eq0z7/view?usp=drive_link
1,12,The Revenge of the Chicken from Outer Space / Journey to the Center of Nowhere,https://drive.google.com/file/d/1s4m_ayakdf8utFJBm9p5Mlw9yw-9v6Ru/view?usp=drive_link
1,13,Little Muriel / The Great Fusilli,https://drive.google.com/file/d/1jh7nkNjqDigsil7B_cpzTLclUMEntAa7/view?usp=drive_link
2,1,The Magic Tree of Nowhere / Robot Randy,https://drive.google.com/file/d/1AtymtkBH_4hdbb9DJM5n-SWNoBo5t0-9/view?usp=drive_link
2,2,The Curse of Shirley / Courage in the Big Stinkin' City,https://drive.google.com/file/d/1Dc2hxJdAbmwsGWOcvoXFjJthwK0X26QT/view?usp=drive_link
2,3,Family Business / Years of Courage,https://drive.google.com/file/d/1tcbbskGvAsT93VJas5GIqQRWuNPaB1q3/view?usp=drive_link
2,4,Courage Meets the Mummy / Invisible Muriel,https://drive.google.com/file/d/1pY9NDQRP9rQAhFy5O8dfASibOk0gbX-S/view?usp=drive_link
2,5,The Human Habitrail / Mission to the Sun,https://drive.google.com/file/d/1m49hOwVHcCJQlWXc6qoNLxY9Epo7opfN/view?usp=drive_link
2,6,Courage the Fly / Katz Kandy,https://drive.google.com/file/d/1lRMKhT3sPAq8mT5mlDVh7UybXI6n9NFH/view?usp=drive_link
2,7,Nowhere TV / Mega Muriel the Magnificent,https://drive.google.com/file/d/18dQgMDASvxMauBg9xo6F28O3gh39lSBU/view?usp=drive_link
2,8,Bad Hair Day / Forbidden Hat of Gold,https://drive.google.com/file/d/1YKPifPwIWdOmIcbLoPfDJDBvXyHctlzc/view?usp=drive_link
2,9,Serpent of Evil River / The Transplant,https://drive.google.com/file/d/1i_RPX6ywd-ohMRoArgbSDqoF6M0xtF24/view?usp=drive_link
2,10,"""Car Broke, Phone Yes / Cowboy Courage""",https://drive.google.com/file/d/14qtg-2CDVZNFhiXepLNyA2GZVwO2lei4/view?usp=drive_link
2,11,Evil Weevil / McPhearson Phantom,https://drive.google.com/file/d/1SGIdyzCVgt_rDql3ggTlzggypduVRpJx/view?usp=drive_link
2,12,The House of Discontent / The Sand Whale Strikes,https://drive.google.com/file/d/10x0LPdHmm9RRfNXp0lb8BQ2WmpD-Fl5K/view?usp=drive_link
2,13,The Tower of Dr. Zalost,https://drive.google.com/file/d/1WMYmRpGLg5zLMAGpgksm2eBlcdNkAl0l/view?usp=drive_link
3,1,Muriel Meets Her Match / Courage vs. Mecha-Courage,https://drive.google.com/file/d/1DsCsGkoTf0R1jcd17uQlJBSLtMvFLD6l/view?usp=drive_link
3,2,Campsite of Terror / Record Deal,https://drive.google.com/file/d/1-SLbl-vEJ_Dyb2ZS3paTp9AwRNT9lr-b/view?usp=drive_link
3,3,Stormy Weather / The Sandman Sleeps,https://drive.google.com/file/d/1wVC3lzrcBM238cTsB7I8ooz8_C882uaz/view?usp=drive_link
3,4,Hard Drive Courage / The Ride of the Valkyries,https://drive.google.com/file/d/1nkWW57faDfugbqDIstUpB_-NWWUexF39/view?usp=drive_link
3,5,Scuba-Scuba Doo / Conway the Contaminationist,https://drive.google.com/file/d/1vZpGnqpaXIQT1rWSTPS66tPvUpfl9cCn/view?usp=drive_link
3,6,Katz Under the Sea / Curtain of Cruelty,https://drive.google.com/file/d/1X6Iuy9ytaUwfmowZ8UG7o3RJyA3QAy-7/view?usp=drive_link
3,7,Feast of the Bullfrogs / Tulip's Worm,https://drive.google.com/file/d/1I225EhsztxPYsZUqSsSm_OgY--5YTon4/view?usp=drive_link
3,8,So in Louvre are We Two / Night of the Scarecrow,https://drive.google.com/file/d/1N2oPel2llHf-WrkNv1o2Tcrk3aAsNtND/view?usp=drive_link
3,9,Mondo Magic / Watch the Birdies,https://drive.google.com/file/d/1vB6u8C2IPrCTq1BOQtHS3c4CdXV5Xb_j/view?usp=drive_link
3,10,Fishy Business / Angry Nasty People,https://drive.google.com/file/d/1spsUjCjzhS2McBEavwpFCBIIkCj9ruzC/view?usp=drive_link
3,11,Dome of Doom / Snowman's Revenge,https://drive.google.com/file/d/10pnUtwmqimqEDpXmfTpJ5Zl6sYpGYTln/view?usp=drive_link
3,12,The Quilt Club / Swindlin' Wind,https://drive.google.com/file/d/1Uzcs5sUTw1ceW7Z9P06Zn47P4jushoKO/view?usp=drive_link
3,13,King of Flan / Courage Under the Volcano,https://drive.google.com/file/d/1pZpe5mNWqDPm4X8x6E7uf9YGhGbvLR3r/view?usp=drive_link
4,1,A Beaver's Tale / The Nutcracker,https://drive.google.com/file/d/1Z_eP8C96a5EWHZAXiE2Mp94GmSYiZ6oO/view?usp=drive_link
4,2,Rumpledkiltskin / Housecalls,https://drive.google.com/file/d/15nBDTQI4KZQVLGGfONFrj-S_aoka14O6/view?usp=drive_link
4,3,Le Quack's Revenge / The Last of the Starmakers,https://drive.google.com/file/d/1Jx6ZZN2T6_ZJG5tmsO1oOaHU_12BjWxq/view?usp=drive_link
4,4,Son of the Chicken from Outer Space / Courageous Cure,https://drive.google.com/file/d/13NFyNU0wlUvtTLDOkf5EbX2gOZ0v3_GD/view?usp=drive_link
4,5,Ball of Revenge / Cabaret Courage,https://drive.google.com/file/d/1ebrwcr4gXSnmYI4U1lYZ77sDLvHWeI83/view?usp=drive_link
