Season,Episode,Title,URL
1,1,A Night at the Katz Motel / Cajun Granny Stew,https://drive.google.com/file/d/1zchtHHYoENfcUDjpZNVN9NG3BWHViU2m/view?usp=drive_link
1,2,The Shadow of Courage / Dr. Le Quack,https://drive.google.com/file/d/10G303lu4ibh9h4jVsOlMpYhwG7htqHhu/view?usp=drive_link
1,3,Courage Meets Bigfoot / Hothead,https://drive.google.com/file/d/1GIghadSg3jnZ_08I8rHV9c0_-Bd-jeaI/view?usp=drive_link
1,4,Demon in the Mattress / Freaky Fred,https://drive.google.com/file/d/1svRE_DiiGiuT_KRhjEffe2fTiUx1hqPU/view?usp=drive_link
1,5,Night of the Weremole / Mother's Day,https://drive.google.com/file/d/1BtgyUMLP7N95vmkcxYnZorwqXDjB2lSH/view?usp=drive_link
1,6,The Duck Brothers / Shirley the Medium,https://drive.google.com/file/d/10d3BWyFAJ3XRDT1Ck_uYV8__U6J7OW8w/view?usp=drive_link
1,7,King Ramses' Curse / The Clutching Foot,https://drive.google.com/file/d/1EUob4e0NukgGjaRUCTAVKVXckvdLU7Xb/view?usp=drive_link
1,8,The Hunchback of Nowhere / The Gods Must Be Goosey,https://drive.google.com/file/d/15vSPGCjiHmIyq2RoShQc-lkxqSEpNrJr/view?usp=drive_link
1,9,Queen of the Black Puddle / Everyone Wants to Direct,https://drive.google.com/file/d/1q20LU0mtE6EQagm-uu6wS1eR0g2aUj9M/view?usp=drive_link
1,10,The Snowman Cometh / The Precious Wonderful Adorable Loveable Duckling,https://drive.google.com/file/d/1KiRCVJ6w6mtaziIVLxVcSCpesS5kYYM3/view?usp=drive_link
1,11,Heads of Beef / Klub Katz,https://drive.google.com/file/d/1rpPfPUXQzv4BtYWEZqmod0G20VeU7DEh/view?usp=drive_link
1,12,Revenge of the Chicken from Outer Space / Journey to the Center of Nowhere,https://drive.google.com/file/d/1Su9V3oAV9OOQCIF0G9sZIsKEZ4Ip4-nU/view?usp=drive_link
1,13,Little Muriel / The Great Fusilli,https://drive.google.com/file/d/1OybvryzH475lwdOKSHmuFWFT8uqBRQ6I/view?usp=drive_link
2,1,The Magic Tree of Nowhere / Robot Randy,https://drive.google.com/file/d/1RrJo00Leoj2VWyAD5yEAQ397VNG_wF9d/view?usp=drive_link
2,2,The Curse of Shirley / Courage in the Big Stinkin' City,https://drive.google.com/file/d/1nozJuxaMNUU1zwRxmxe3i_PglyCXNmls/view?usp=drive_link
2,3,Family Business / Years of Courage,https://drive.google.com/file/d/1Je57jxEHbSubpJmgyd1ZIajnsDzzBNbD/view?usp=drive_link
2,4,Courage Meets the Mummy / Invisible Muriel,https://drive.google.com/file/d/1xKmOHVhfWlUXOC8hlHSmGvIrM9iTrgOm/view?usp=drive_link
2,5,The Human Habitrail / Mission to the Sun,https://drive.google.com/file/d/14iwiJnANBsWu_EBR0pLd4TiW8JNVDBx4/view?usp=drive_link
2,6,Courage the Fly / Katz Kandy,https://drive.google.com/file/d/1adNoR0ldBzpNJqGGOLRF7IVoqKcrGl87/view?usp=drive_link
