Character,Role / Short Description,Appearance Highlights,Habit / Behavior
Ai Shen,Mysterious spirit; guardian of an ancient relic,"Ethereal, dragon-like form with flowing mane","Silent observer, appears at dusk"
Alien Brain Boss,Villainous overlord of alien horde,"Large floating brain with tentacles, glowing eyes","Issues orders telepathically, scheming"
Alien Brain Visitor,Scout sent by Brain Boss,Smaller brain with single eyestalk,"Inquisitive, probes minds"
Angry Mob,Townsfolk turned hostile,Shadowy silhouettes with pitchforks,"Shouts, chases intruders en masse"
Antagonists,Generic foes opposing Courage,Varies by episode,"Scheming, antagonistic toward villagers"
Apparitions,Ghostly figures haunting Nowhere,"Translucent shapes, pale glow","Drifting, moaning"
Asian Lung Dragon,Benevolent dragon deity,"Long serpentine body, ornate scales","Breathes fire, offers cryptic wisdom"
Aunt Gertrude,Eustace’s eccentric aunt,"Tall, severe bun, Victorian dress","Critiques Courage, fusses over manners"
Baby Vultures,Fledgling birds around vulture mother,"Small, scruffy feathers","Peep constantly, follow mother"
Banana People,Mischievous banana-costumed trio,"Bright yellow suits, oversized heads",Perform slapstick fruit fights
Banana Suit Dealer,Vendor of Banana People outfits,Booth stacked with suits,"Pushy salesman, offers “one-size-fits-all”"
Barbara,Minor local girl,"Blue dress, pigtails","Shy, hides behind Muriel"
Basil,Wandering herbalist,"Brown cloak, satchel of herbs","Offers potions, speaks in riddles"
Bearded Man,Wandering stranger,"Large beard, patched clothes","Tells tall tales, drinks tea"
Benton Tarantella,Ghostly musician,"Victorian suit, transparent violin",Plays haunting violin melodies
Big Bayou,Swamp monster,"Moss-covered, stumpy limbs","Emerges at night, lures victims"
Big Toe,Giant toe creature,Single oversized toe with eyeball,"Grunts, stomps around"
Bigfoot,Legendary ape-like creature,"Hairy, barefoot, massive","Elusive, leaves footprints"
Black Puddle Queen,Malevolent liquid monarch,"Shifting black ooze, queen’s crown","Absorbs objects, commands puddle minions"
Bluff,Con-artist bird,"Dapper tuxedo feathered, top hat","Tricks villagers, sleight of wing"
Bobby Ganoush,Local jazz musician,"Fedora hat, saxophone",Plays smooth tunes at night
Box Demon,Cursed box entity,Animated wooden crate with glowing runes,"Jumps out to frighten, traps items inside"
Brunhilde,Valkyrie ally,"Armor, winged helmet","Rides into battle, challenges Courage"
Buck,Farmhand friend,"Overalls, straw hat","Mends fences, chats with Muriel"
Buck’s Daughter,Young girl in Buck’s care,"Simple dress, braids","Helps feed animals, curious about Courage"
Bugle Monster,Sound-based villain,Humanoid with horned bugle head,"Blasts sonic waves, hunts by sound"
Bullfrogs,Chorus of amphibians,"Green, bulging eyes, plump bodies","Croak in unison, swarm around ponds"
Bunny,Friendly rabbit critter,"White fur, pink ears","Hops around farm, nibbles vegetables"
Cajun Courage,Alternate Courage persona,"Feathered hat, bandolier","Speaks in Cajun accent, swashbuckles"
Cajun Fox,Trickster ally,"Red fur, sly grin","Offers cunning plans, steals treats"
Captain Lazzo,Pirate captain,"Eye patch, tattered coat","Searches for treasure, sings sea shanties"
Cariana,Desert sorceress,"Flowing robes, glowing staff","Conjures mirages, demands tribute"
Carmen,Itinerant singer,"Flamenco dress, red rose in hair",Performs dramatic ballads
Cat Thieves,Feline burglars,"Cat masks, striped outfits","Steal shiny objects, vanish in shadows"
Catherine,Wandering poet,"Quill, parchment","Recites verses, melancholic demeanor"
Ceremonial Wild Boar,Ritual guardian,"Painted tusks, ceremonial headdress","Charges intruders, stands watch"
Charlie the Mouse,Courage’s small companion,"Gray fur, tiny backpack","Nibbles cheese, squeaks warnings"
Chicken / Chickens,Flock of farm fowl,"White feathers, red combs","Cluck nervously, scatter at threats"
Chief Wicky Wicky,Tribal jungle leader,"Feathered mask, spear","Leads ceremonies, wary of outsiders"
Cicada Queen / Cicadas,Insect monarch & subjects,"Shimmering wings, noisy swarm","Hum incessantly, enthrall passersby"
Clyde the Fog Spirit,Mist entity,"Wispy form, glowing eyes","Drifts silently, chills air"
Computer,Smart farmhouse PC,"CRT monitor, pixelated face","Gives technical advice, often warns of doom"
Conway,Traveling salesman,"Suitcase, slick hair","Pitches wares, dodges questions"
Coralites,Ocean dwellers,Coral-encrusted bodies,Communicate via luminescent patterns
Courage,Protagonist; timid but brave dog,"Pink fur, big expressive eyes","Trembles, then saves the day"
Dancing Rats,Enchanted rodent troupe,Gray rats with glowing eyes,"Perform synchronized dances, chase cheese"
Daphne Blake,Mystery-solving teen,"Purple dress, orange scarf","Investigates mysteries, always with Courage"
Deceased Characters,Spirits of those passed on,"Pale, wispy forms","Linger near graveyards, whisper names"
Deities,Various gods & goddesses,"Varies—often regal attire, halos or auras","Grant boons or curses, demand worship"
Demons,Infernal antagonists,"Horns, red skin, cloven hooves","Trick or torment mortals, tempt Courage"
Di Lung,Sushi chef turned dragon,Dragon body with sushi-patterned scales,"Breathes wasabi fire, crafts exotic rolls"
Dilly,Eccentric tinkerer,"Stained lab coat, wild hair","Builds odd contraptions, giggles manically"
Dog Skeletons,Undead canine horde,"Exposed bones, eerie green glow","Rattle bones, stalk farm at midnight"
Dolores Dolores,Visionary artist,"Paint-splattered smock, oversized beret","Paints moving murals, speaks in rhymes"
Dolphin Trainer,Enthusiastic marine handler,"Wetsuit, whistle, clipboard",Trains dolphins to perform tricks for Courage
Dr. Gerbil,Laboratory rodent scientist,"Lab coat, glasses, clipboard",Conducts bizarre experiments on vegetables
Dr. Gerhart,Retired surgeon with dark past,"Bloodstained scrubs, surgical mask","Mutters about operations, haunts operating room"
