Filename,Path,Suggested Tags,Category
Bed.png,\assets\Bed.png,"furniture,bedroom,sleep,interior",Furniture
Door.png,\assets\Door.png,"entrance,exit,interior,access",Architecture
Frame (2).png,\assets\Frame (2).png,"border,decoration,photo,frame",Decoration
Frame.png,\assets\Frame.png,"border,decoration,photo,frame",Decoration
House.png,\assets\House.png,"building,home,exterior,architecture",Architecture
track.png,\assets\track.png,"train,railroad,industrial,night",Industrial
nowherecity 6 .png,\assets\nowherecity 6 .png,"bakery,cafe,night,stars",Food & Cityscape
food (2).png,\assets\food (2).png,"diner,restaurant,burgers,night",Food & Cityscape
nowherecity 8 .png,\assets\nowherecity 8 .png,"diner,restaurant,night,street lamp",Food & Cityscape
food.png,\assets\food.png,"diner,interior,counter,stools",Food & Interior
research centre.png,\assets\research centre.png,"research,building,modern,growth",Architecture
nowherecity.png,\assets\nowherecity.png,"city,street,buildings,barber shop",Cityscape
nowherecity 2 .png,\assets\nowherecity 2 .png,"city,street,buildings,brick",Cityscape
nowherecity 3 .png,\assets\nowherecity 3 .png,"industrial,night,power plant,building",Industrial & Cityscape
nowherecity 4 .png,\assets\nowherecity 4 .png,"city,night,hollowood,shops",Cityscape
motel.png,\assets\motel.png,"motel,hotel,night,building",Architecture
tree.png,\assets\tree.png,"tree,stump,nature,landscape",Nature
show.png,\assets\show.png,"music hall,theater,bus,city",Cityscape
back yard.png,\assets\back yard.png,"backyard,house,night,stars",Architecture
pc.png,\assets\pc.png,"computer,pc,desk,chair",Furniture & Interior
