Name,Thumbnail location,Media URL,Type,Found
The Chicken from Outer Space [The 0th Episode],Thumbnails/TheChickenfromOuterSpace.png,https://drive.google.com/file/d/1n396yYi7TJ_tp0N-KdF5FXXhYCf7f73t/view?usp=drive_link,Episode,yes
The Dirdy Birdy,Thumbnails/TheDirdyBirdy.png,https://drive.google.com/file/d/1-GwZMgD30yobF9x0gwUBwOXk0mS8sTp8/view?usp=sharing,Episode,yes
Trailer - Straight Outta Nowhere,Thumbnails/StraightOuttaNowhereTrailer.png,,Movie,no
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Thumbnails/Straight Outta Nowhere.png,,Movie,no
The Fog of Courage,Thumbnails/TheFogofCourage.png,,Movie,no
They Might Be Giants,Thumbnails/They Might Be Giants.png,,Promo,no
Promo 1,Thumbnails/promo.png,,Promo,no
Promo 2,Thumbnails/promo.png,,Promo,no
Promo 3,Thumbnails/promo.png,,Promo,no
Promo 4,Thumbnails/promo.png,,Promo,no
